CUSTOMER_ID,spending amount
20001,1578
20002,3428
20003,1153
20004,6400
20005,3040
20006,5439
20007,8563
20008,2291
20009,2144
20010,5257
20011,4758
20012,3107
20013,125
20014,2585
20015,173
20028,466
20029,5438
20030,8643
20031,7389
20032,6549
20033,8068
20034,6483
20069,3185
20070,9146
20071,4666
20072,6548
20073,8420
20074,9548
20075,936
20076,1475
20077,5117
20086,6554
20087,9946
20088,45
20089,5334
20090,510
20091,7993
20092,2531
20093,2535
20094,8348
20095,6512
20086,9905
20087,9318
20088,2747
20089,7334
20090,6998
20091,7506
